dist_id,year,state_name,dist_num,div_name,reg_name,population,households,income_mean,income_median
20102101,2010,Kentucky,1,East South Central,South,684207,270404,48537,36980
20102102,2010,Kentucky,2,East South Central,South,744366,282582,55277,43699
20102103,2010,Kentucky,3,East South Central,South,709600,293128,63016,45558
20102104,2010,Kentucky,4,East South Central,South,731932,276952,64239,49619
20102105,2010,Kentucky,5,East South Central,South,670841,253914,41750,28430
20102106,2010,Kentucky,6,East South Central,South,744882,299728,61059,45375
20102201,2010,Louisiana,1,West South Central,South,667724,256935,71283,51723
20102202,2010,Louisiana,2,West South Central,South,453668,167529,54502,38138
20102203,2010,Louisiana,3,West South Central,South,628138,221963,59629,46319
20102204,2010,Louisiana,4,West South Central,South,659131,248525,54920,39731
20102205,2010,Louisiana,5,West South Central,South,641861,233581,51610,36952
20102206,2010,Louisiana,6,West South Central,South,711872,260923,66274,49145
20102207,2010,Louisiana,7,West South Central,South,667546,251709,58786,42171
20102301,2010,Maine,1,New England,Northeast,668076,278015,67552,53333
20102302,2010,Maine,2,New England,Northeast,659589,273110,52386,40966
20102401,2010,Maryland,1,South Atlantic,South,733753,275012,89238,69584
20102402,2010,Maryland,2,South Atlantic,South,689940,269328,70272,57333
20102403,2010,Maryland,3,South Atlantic,South,708443,276925,93403,71488
20102404,2010,Maryland,4,South Atlantic,South,702105,252655,91975,73466
20102405,2010,Maryland,5,South Atlantic,South,756668,263841,99062,85026
20102406,2010,Maryland,6,South Atlantic,South,735079,270426,85390,69830
20102407,2010,Maryland,7,South Atlantic,South,660523,244295,75234,52879
20102408,2010,Maryland,8,South Atlantic,South,709912,268565,125852,89303
20102501,2010,Massachusetts,1,New England,Northeast,643079,251593,68007,54015
20102502,2010,Massachusetts,2,New England,Northeast,657091,250303,71716,57681
20102503,2010,Massachusetts,3,New England,Northeast,657820,251056,83630,64733
20102504,2010,Massachusetts,4,New England,Northeast,651798,245568,99586,68724
20102505,2010,Massachusetts,5,New England,Northeast,651655,237983,93119,70695
20102506,2010,Massachusetts,6,New England,Northeast,643476,248467,94128,72593
20102507,2010,Massachusetts,7,New England,Northeast,637550,253278,94298,71862
20102508,2010,Massachusetts,8,New England,Northeast,646389,263476,75133,50246
20102509,2010,Massachusetts,9,New England,Northeast,642662,244022,92445,71353
20102510,2010,Massachusetts,10,New England,Northeast,645576,266806,88167,67773
20102601,2010,Michigan,1,East North Central,Midwest,656230,272742,51966,40444
20102602,2010,Michigan,2,East North Central,Midwest,698401,261809,58631,46597
20102603,2010,Michigan,3,East North Central,Midwest,692416,260795,63954,49866
20102604,2010,Michigan,4,East North Central,Midwest,686137,266238,57052,43578
20102605,2010,Michigan,5,East North Central,Midwest,646613,252991,53795,41735
20102606,2010,Michigan,6,East North Central,Midwest,670991,262490,59044,44653
20102607,2010,Michigan,7,East North Central,Midwest,680402,260628,61592,49387
20102608,2010,Michigan,8,East North Central,Midwest,705271,265361,72783,58660
20102609,2010,Michigan,9,East North Central,Midwest,659466,266370,97485,69771
20102610,2010,Michigan,10,East North Central,Midwest,717134,270756,69236,56539
20102611,2010,Michigan,11,East North Central,Midwest,691726,265590,80642,64654
20102612,2010,Michigan,12,East North Central,Midwest,644564,271051,59030,47799
20102613,2010,Michigan,13,East North Central,Midwest,540874,195842,46941,31263
20102614,2010,Michigan,14,East North Central,Midwest,578261,210011,47681,35629
20102615,2010,Michigan,15,East North Central,Midwest,684201,261323,67465,52600
20102701,2010,Minnesota,1,West North Central,Midwest,639740,254419,63950,50985
20102702,2010,Minnesota,2,West North Central,Midwest,720097,265173,88226,74073
20102703,2010,Minnesota,3,West North Central,Midwest,639968,251455,100994,74323
20102704,2010,Minnesota,4,West North Central,Midwest,608988,246296,71422,53501
20102705,2010,Minnesota,5,West North Central,Midwest,611650,268745,67015,50018
20102706,2010,Minnesota,6,West North Central,Midwest,741269,269438,82465,69664
20102707,2010,Minnesota,7,West North Central,Midwest,623429,254714,57506,46732
20102708,2010,Minnesota,8,West North Central,Midwest,656773,275677,57723,46953
20102801,2010,Mississippi,1,East South Central,South,777476,290276,51749,39351
20102802,2010,Mississippi,2,East South Central,South,674718,235252,44745,30914
20102803,2010,Mississippi,3,East South Central,South,750209,282141,56696,39065
20102804,2010,Mississippi,4,East South Central,South,739588,273383,55576,41657
20102901,2010,Missouri,1,West North Central,Midwest,590880,242020,55891,40438
20102902,2010,Missouri,2,West North Central,Midwest,693987,263464,94998,73380
20102903,2010,Missouri,3,West North Central,Midwest,622705,258432,64926,50958
20102904,2010,Missouri,4,West North Central,Midwest,672194,260967,53546,42727
20102905,2010,Missouri,5,West North Central,Midwest,628294,257459,58663,44929
20102906,2010,Missouri,6,West North Central,Midwest,680151,266243,65103,52026
20102907,2010,Missouri,7,West North Central,Midwest,708446,282753,53606,41038
20102908,2010,Missouri,8,West North Central,Midwest,650857,255397,46303,35231
20102909,2010,Missouri,9,West North Central,Midwest,674800,263220,57670,44694
20103000,2010,Montana,0,Mountain,West,973739,401328,56886,43872
20103101,2010,Nebraska,1,West North Central,Midwest,615175,241873,62411,50653
20103102,2010,Nebraska,2,West North Central,Midwest,624827,243323,70910,54129
20103103,2010,Nebraska,3,West North Central,Midwest,559123,226575,54213,43458
20103201,2010,Nevada,1,Mountain,West,805035,286127,64709,49754
20103202,2010,Nevada,2,Mountain,West,823084,314561,71056,54521
20103203,2010,Nevada,3,Mountain,West,1005212,378933,78580,61693
20103301,2010,New Hampshire,1,New England,Northeast,656515,258171,80388,64696
20103302,2010,New Hampshire,2,New England,Northeast,657424,255633,77810,61699
20103401,2010,New Jersey,1,Middle Atlantic,Northeast,668011,249661,75116,60729
20103402,2010,New Jersey,2,Middle Atlantic,Northeast,688851,255448,73025,57000
20103403,2010,New Jersey,3,Middle Atlantic,Northeast,678541,259434,89664,72086
20103404,2010,New Jersey,4,Middle Atlantic,Northeast,715340,261811,86783,67448
20103405,2010,New Jersey,5,Middle Atlantic,Northeast,662551,236011,121971,92206
20103406,2010,New Jersey,6,Middle Atlantic,Northeast,664028,238083,87767,69429
20103407,2010,New Jersey,7,Middle Atlantic,Northeast,666245,236070,126242,95303
20103408,2010,New Jersey,8,Middle Atlantic,Northeast,655236,220953,86846,61445
20103409,2010,New Jersey,9,Middle Atlantic,Northeast,654879,252960,85276,66135
20103410,2010,New Jersey,10,Middle Atlantic,Northeast,630266,223337,64132,46974
20103411,2010,New Jersey,11,Middle Atlantic,Northeast,671645,244206,132421,98847
20103412,2010,New Jersey,12,Middle Atlantic,Northeast,693308,251114,114554,88041
20103413,2010,New Jersey,13,Middle Atlantic,Northeast,672676,246981,72151,50412
20103501,2010,New Mexico,1,Mountain,West,689123,274704,63154,46532
20103502,2010,New Mexico,2,Mountain,West,650580,234255,51061,38263
20103503,2010,New Mexico,3,Mountain,West,673419,247153,62591,46713
20103601,2010,New York,1,Middle Atlantic,Northeast,698114,243131,102093,82115
20103602,2010,New York,2,Middle Atlantic,Northeast,677603,214716,111737,89849
20103603,2010,New York,3,Middle Atlantic,Northeast,642162,220801,117265,92884
20103604,2010,New York,4,Middle Atlantic,Northeast,656263,210651,106811,85778
